"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","lps","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","midS1neg","midS1pos","midSneg","midSneu","midSpos","midO1neg","midO1pos","midOneg","midOneu","midOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
20230710142359308.000000,9.047955,8.043159,2.406250,2.406250,0.269860,0.269860,0.156250,-2.596878,-0.160156,10.812500,50.679688,0.977500,-2.750000,-167.314201,-163.585994,356.628401,370.238665,3.619048,5.047619,NaN,NaN,5.047619,3.857143,5.761905,NaN,6.000000,NaN,3.222222,4.194444,NaN,NaN,4.611111,2.250000,4.055556,NaN,4.750000,NaN,1.000000,6.000000,NaN,NaN,6.000000,2.190476,5.285714,NaN,4.095238,NaN
20230710142554812.000000,0.125869,0.736715,-4.625000,-4.625000,1.116434,1.116434,-0.125000,-3.795837,-4.480469,0.237500,22.625000,1.966250,-2.750000,-217.853768,-211.444721,457.707535,471.317800,3.000000,4.809524,NaN,3.857143,NaN,2.809524,3.761905,NaN,NaN,3.904762,2.277778,5.527778,NaN,3.305556,NaN,2.027778,5.388889,NaN,NaN,5.277778,1.238095,5.142857,NaN,2.857143,NaN,1.095238,5.523810,NaN,NaN,4.857143
20230710142601336.000000,-0.207161,-0.132036,-0.054688,-0.054688,-0.153426,-0.153426,-1.109375,-1.300173,-1.125000,-0.118750,4.906250,-0.505625,-2.750000,-256.291942,-249.053226,534.583883,548.194147,1.000000,6.000000,NaN,4.952381,3.333333,3.904762,3.904762,NaN,NaN,NaN,1.694444,3.055556,NaN,3.472222,3.861111,2.888889,2.138889,NaN,NaN,NaN,1.476190,1.428571,NaN,4.952381,4.238095,2.285714,4.904762,NaN,NaN,NaN
2023071014265986.000000,0.622707,1.163609,-2.281250,-2.281250,1.539721,1.539721,-0.500000,-6.993061,-5.750000,2.375000,7.750000,3.449375,-3.000000,-215.548380,-208.690232,453.096761,466.707025,4.000000,3.238095,NaN,NaN,4.428571,2.619048,2.714286,NaN,NaN,5.619048,2.388889,4.472222,NaN,NaN,4.888889,1.916667,4.500000,NaN,NaN,4.555556,2.904762,4.190476,NaN,NaN,4.761905,1.904762,4.857143,NaN,NaN,4.095238
20230710143008916.000000,0.846313,0.846313,4.000000,4.000000,3.232868,3.232868,-0.500000,-2.596878,-1.125000,3.125000,9.937500,9.381875,-2.750000,-169.308865,-164.299351,360.617730,374.227994,4.714286,4.666667,NaN,NaN,3.428571,4.809524,4.714286,NaN,NaN,4.619048,4.833333,4.805556,NaN,NaN,4.916667,4.916667,5.000000,NaN,NaN,4.694444,4.523810,4.761905,NaN,NaN,4.666667,5.190476,4.761905,NaN,NaN,5.476190
20230710143135952.000000,1.349268,3.510594,3.921875,3.921875,1.116434,1.116434,-1.250000,-2.197225,3.148438,4.906250,8.843750,4.932500,-4.000000,-229.436686,-224.608468,480.873372,494.483636,4.333333,5.190476,NaN,NaN,NaN,4.142857,5.238095,NaN,4.238095,4.666667,4.638889,5.138889,NaN,NaN,NaN,3.111111,5.111111,NaN,4.972222,4.194444,5.142857,4.238095,NaN,NaN,NaN,3.000000,5.285714,NaN,4.571429,3.428571
20230710143158544.000000,1.583341,-3.171871,-2.750000,-2.750000,0.269860,0.269860,-0.828125,1.000000,-2.250000,1.031250,20.656250,-0.011250,-4.000000,-213.167915,-207.391909,448.335831,461.946095,3.095238,5.809524,NaN,NaN,3.904762,2.428571,2.190476,NaN,3.333333,NaN,1.222222,4.083333,NaN,NaN,3.555556,1.555556,3.361111,NaN,3.611111,NaN,1.238095,5.809524,NaN,NaN,4.952381,1.000000,6.000000,NaN,3.619048,NaN
20230710143222400.000000,-0.087460,-0.770499,3.000000,3.000000,2.174651,2.174651,-0.750000,0.400520,-3.687500,2.600000,7.750000,2.955000,-3.000000,-235.647345,-229.128751,493.294691,506.904955,4.000000,5.047619,NaN,NaN,NaN,3.714286,5.000000,NaN,4.238095,4.476190,4.694444,4.666667,NaN,NaN,NaN,2.750000,3.888889,NaN,2.333333,4.527778,2.000000,4.714286,NaN,NaN,NaN,2.476190,4.380952,NaN,2.571429,4.952381
20230710143331276.000000,1.109375,-1.148438,2.515625,2.515625,1.116434,1.116434,-0.875000,-2.197225,-6.031250,6.593750,14.750000,3.449375,-3.000000,-240.436357,-234.092979,502.872715,516.482979,5.000000,5.238095,NaN,4.476190,NaN,4.238095,5.000000,NaN,4.000000,NaN,4.055556,5.027778,NaN,3.944444,NaN,2.916667,5.138889,NaN,3.194444,NaN,3.380952,4.523810,NaN,4.095238,NaN,2.857143,4.857143,NaN,3.476190,NaN
20230710143412544.000000,0.708236,0.327943,3.500000,3.500000,4.291085,4.291085,-1.250000,-2.996531,2.515625,-3.725000,12.125000,8.887500,-3.000000,-230.448355,-226.912862,482.896710,496.506974,4.857143,3.047619,NaN,NaN,5.047619,3.285714,3.523810,NaN,3.571429,NaN,4.527778,3.361111,NaN,NaN,4.722222,3.361111,3.416667,NaN,2.972222,NaN,4.523810,3.142857,NaN,NaN,5.095238,3.333333,3.714286,NaN,3.523810,NaN
