width,height,subject_nr,avatar_file,gender,other_ratee,block_nr,rater_name,rater_file,ratee_type,ratee_name,ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,comment,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,rater_avatar
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,0,0,0,active,lazy,lazy,lazy,active,50,active,true,false,,1682619191008,1682619191765,1682619270832,1682619298344,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,1,0,1,focused,distracted,focused,distracted,focused,76,focused,true,true,,1682619191008,1682619191765,1682619311156,1682619342277,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,2,1,1,wise,naive,wise,wise,naive,0,wise,true,true,,1682619191008,1682619191765,1682619345622,1682619349975,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,3,1,0,friendly,hostile,hostile,friendly,hostile,0,friendly,true,false,,1682619191008,1682619191765,1682619351996,1682619360626,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,4,0,1,trustworthy,untrustworthy,trustworthy,untrustworthy,trustworthy,100,trustworthy,true,true,,1682619191008,1682619191765,1682619363070,1682619368826,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,5,0,1,organised,disorganised,organised,disorganised,organised,0,disorganised,false,false,,1682619191008,1682619191765,1682619373329,1682619376301,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,6,1,1,relaxed,tense,relaxed,relaxed,tense,100,tense,false,false,,1682619191008,1682619191765,1682619378585,1682619393792,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,7,1,1,supportive,critical,supportive,supportive,critical,1,supportive,true,true,,1682619191008,1682619191765,1682619396029,1682619399716,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,8,1,1,confident,self-doubting,confident,confident,self-doubting,75,self-doubting,false,false,,1682619191008,1682619191765,1682619402776,1682619406072,,,,,female10
800,331,5,female6,f,,0,Lucy,,other,Amy,female11,like,9,0,1,sociable,avoidant,sociable,avoidant,sociable,100,sociable,true,true,,1682619191008,1682619191765,1682619409182,1682619415798,,,,,female10
