"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
660061.000000,0.682532,0.842478,2.539463,2.539463,0.693147,0.693147,1.906746,-2.197225,-0.881568,-0.167843,7.463968,6.910000,-73.924346,-68.368497,161.848691,170.509768,4.400000,5.581818,2.563636,5.181818,NaN,4.072727,4.381818,NaN,4.509091,5.690909,2.745455,6.000000,1.000000,3.836364,NaN,2.000000,4.909091,NaN,3.054545,5.109091
660062.000000,0.812132,0.010046,2.838820,2.838820,0.693147,0.693147,1.729885,-2.197225,-0.290276,0.160662,1.149037,6.910000,-38.576658,-33.163321,91.153315,99.814393,3.509091,5.054545,2.818182,4.545455,NaN,2.490909,3.781818,NaN,3.781818,4.127273,2.527273,6.000000,1.000000,3.927273,NaN,1.672727,4.818182,NaN,3.000000,5.000000
660063.000000,0.285093,0.580151,2.198053,2.198053,0.693147,0.693147,1.757419,-2.197225,-4.355895,0.711790,6.223907,6.910000,-78.977875,-73.338864,171.955750,180.616828,3.418182,5.472727,2.854545,5.018182,NaN,3.327273,5.163636,NaN,4.472727,5.545455,2.818182,6.000000,1.272727,3.927273,NaN,2.000000,4.909091,NaN,3.054545,5.090909
660064.000000,0.382572,-0.331181,3.720120,3.720120,0.693147,0.693147,1.765757,-2.197225,-1.454099,0.272039,6.703757,6.910000,-85.724327,-80.913398,185.448654,194.109731,4.600000,5.727273,3.745455,5.345455,NaN,1.309091,3.381818,NaN,2.654545,2.436364,3.018182,6.000000,1.200000,3.981818,NaN,2.000000,4.618182,NaN,3.054545,5.000000
660065.000000,0.268109,0.410951,2.032360,2.032360,0.693147,0.693147,1.901421,-2.197225,1.000000,-1.023903,7.287668,6.910000,-84.445755,-78.785718,182.891511,191.552588,3.272727,5.218182,1.309091,3.909091,NaN,1.872727,3.709091,NaN,2.927273,5.109091,2.218182,6.000000,1.000000,3.781818,NaN,1.672727,4.781818,NaN,3.145455,5.000000
660066.000000,1.441887,-0.950263,1.817532,1.817532,0.693147,0.693147,2.110775,-2.197225,-1.158058,1.152465,1.475909,6.910000,-21.953144,-16.316360,57.906288,66.567365,4.309091,6.000000,3.600000,5.490909,NaN,3.145455,4.545455,NaN,4.145455,4.545455,3.000000,6.000000,1.545455,4.018182,NaN,2.000000,5.000000,NaN,3.090909,5.109091
660067.000000,1.922690,0.287279,2.211459,2.211459,0.693147,0.693147,2.148221,-2.197225,-0.719558,-0.529076,2.958383,6.910000,-53.636627,-47.988049,121.273254,129.934331,3.672727,4.545455,2.472727,4.545455,NaN,1.963636,2.618182,NaN,2.927273,3.527273,2.181818,5.981818,1.000000,3.927273,NaN,1.018182,4.618182,NaN,2.981818,5.000000
660068.000000,1.426337,-0.260308,3.161360,3.161360,0.693147,0.693147,2.811688,-2.197225,-0.172406,-0.447998,0.858400,6.910000,-19.359535,-14.264442,52.719071,61.380148,2.690909,4.145455,2.090909,4.054545,NaN,1.781818,2.945455,NaN,2.563636,3.454545,2.181818,5.981818,1.000000,3.872727,NaN,1.018182,4.618182,NaN,2.981818,5.000000
660069.000000,2.203221,0.602019,3.303742,3.303742,0.693147,0.693147,1.685373,-2.197225,-1.747829,-1.338607,6.730046,6.910000,-60.924985,-55.709638,135.849970,144.511047,4.054545,5.836364,3.181818,5.418182,NaN,1.890909,2.600000,NaN,4.090909,4.600000,2.890909,6.000000,1.000000,4.018182,NaN,1.490909,4.381818,NaN,3.000000,5.000000
660070.000000,1.089173,0.350494,1.152788,1.152788,0.693147,0.693147,2.009986,-2.197225,-2.863804,0.254974,3.776371,6.910000,-41.542118,-35.777320,97.084236,105.745313,4.290909,6.000000,3.018182,5.472727,NaN,2.709091,3.890909,NaN,3.890909,4.872727,2.690909,6.000000,1.000000,3.927273,NaN,1.763636,4.927273,NaN,3.000000,5.090909
660071.000000,1.724344,0.517207,3.017473,3.017473,0.693147,0.693147,2.244195,-2.197225,-0.202927,-0.826377,5.122732,6.910000,-42.860597,-37.468305,99.721194,108.382271,3.981818,4.109091,2.872727,5.200000,NaN,1.490909,2.272727,NaN,3.836364,4.400000,2.527273,5.945455,1.000000,4.000000,NaN,1.672727,4.618182,NaN,3.000000,5.000000
660072.000000,0.693897,0.117725,0.935852,0.935852,0.693147,0.693147,2.287321,-2.197225,-1.298848,-0.421514,7.122150,6.910000,-63.349807,-57.629580,140.699614,149.360691,3.781818,6.000000,2.254545,5.381818,NaN,1.163636,3.327273,NaN,2.872727,4.527273,2.290909,6.000000,1.000000,3.927273,NaN,1.254545,4.927273,NaN,2.963636,5.036364
660073.000000,2.162360,0.854616,1.356477,1.356477,0.693147,0.693147,2.349308,-2.197225,-3.259249,-0.675462,5.865443,6.910000,-37.161972,-31.468800,88.323944,96.985021,3.818182,6.000000,2.945455,5.490909,NaN,2.345455,3.400000,NaN,4.345455,4.763636,2.690909,6.000000,1.000000,4.000000,NaN,1.490909,5.000000,NaN,3.000000,5.109091
660074.000000,1.427551,0.273635,2.439580,2.439580,0.693147,0.693147,1.780658,-2.197225,-3.311511,0.969826,7.549097,6.910000,-79.528253,-73.965899,173.056506,181.717583,4.854545,6.000000,4.145455,5.909091,NaN,3.363636,3.418182,NaN,4.690909,4.727273,3.018182,6.000000,1.400000,4.309091,NaN,2.000000,4.909091,NaN,3.363636,5.000000
660075.000000,1.136949,0.674928,2.336596,2.336596,0.693147,0.693147,2.136234,-2.197225,-0.647821,0.332269,9.047387,6.910000,-63.708807,-58.166106,141.417613,150.078690,4.927273,5.909091,3.818182,5.545455,NaN,3.636364,4.345455,NaN,4.872727,5.763636,3.000000,6.000000,1.381818,4.000000,NaN,2.000000,4.890909,NaN,3.545455,5.054545
660076.000000,0.342743,0.357007,0.564991,0.564991,0.693147,0.693147,1.799247,-2.197225,-2.332520,-0.452712,3.748996,6.910000,-65.910854,-60.109436,145.821707,154.482785,2.145455,4.581818,1.327273,3.836364,NaN,1.600000,2.781818,NaN,2.981818,3.800000,2.181818,6.000000,1.000000,3.836364,NaN,1.381818,4.909091,NaN,2.981818,5.000000
660077.000000,1.695190,0.068611,1.458047,1.458047,0.693147,0.693147,2.025261,-2.197225,-0.553857,-0.726043,5.704687,6.910000,-59.422788,-53.681300,132.845576,141.506653,4.036364,5.672727,3.145455,5.509091,NaN,1.163636,2.327273,NaN,2.763636,3.000000,2.690909,6.000000,1.000000,4.000000,NaN,1.000000,4.781818,NaN,3.036364,5.054545
660078.000000,0.861638,0.005593,2.456543,2.456543,0.693147,0.693147,1.924383,-2.197225,-6.553067,1.165939,6.918834,6.910000,-59.322031,-53.787371,132.644062,141.305139,4.872727,6.000000,4.072727,5.818182,NaN,3.236364,3.545455,NaN,4.072727,4.545455,3.072727,6.000000,1.490909,3.963636,NaN,2.000000,4.800000,NaN,3.109091,5.000000
660079.000000,2.400584,0.950403,1.790946,1.790946,0.693147,0.693147,1.769090,-2.197225,-4.213758,0.354898,8.677503,6.910000,-73.000004,-67.375420,160.000008,168.661086,5.036364,6.000000,3.745455,5.854545,NaN,2.818182,4.581818,NaN,4.818182,6.000000,3.018182,6.000000,1.145455,3.927273,NaN,2.000000,4.854545,NaN,3.200000,5.327273
660080.000000,1.509207,0.659687,2.462169,2.462169,0.693147,0.693147,2.135354,-2.197225,0.354873,0.475977,1.415251,6.910000,-24.879542,-19.351518,63.759084,72.420162,3.945455,5.090909,3.018182,5.327273,NaN,2.963636,3.818182,NaN,3.963636,4.690909,2.690909,6.000000,1.290909,4.000000,NaN,1.872727,5.000000,NaN,3.000000,5.090909
