"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660081.000000,0.866717,0.681058,19.364601,19.364601,2.000000,2.000000,7.824840,0.100000,0.042160,-0.918942,4.290517,0.999003,-53.586969,-48.167341,121.173938,129.835015
660082.000000,0.901514,0.543684,16.679938,16.679938,2.000000,2.000000,6.343636,0.100000,0.341125,0.919608,12.211467,0.999003,-71.604408,-66.298022,157.208817,165.869894
660083.000000,0.864652,0.509934,0.929650,0.929650,2.000000,2.000000,6.990296,0.100000,0.458006,-1.721197,3.774143,0.999003,-35.382832,-29.593406,84.765664,93.426741
660084.000000,0.463568,0.621667,18.938249,18.938249,2.000000,2.000000,6.118824,0.100000,0.316767,0.303210,6.028874,0.999003,-88.775275,-83.321165,191.550550,200.211627
660085.000000,0.916797,0.973897,0.151997,0.151997,2.000000,2.000000,0.773648,0.100000,0.000529,-1.228503,3.289959,0.999003,-112.740957,-107.015246,239.481913,248.142991
660086.000000,0.707045,0.609357,16.554993,16.554993,2.000000,2.000000,5.980332,0.100000,0.319129,0.419651,4.284523,0.999003,-66.378148,-60.849582,146.756295,155.417373
660087.000000,0.817031,0.630520,24.833300,24.833300,2.000000,2.000000,6.619400,0.100000,0.454367,-0.759110,4.045150,0.999003,-68.103800,-62.785257,150.207599,158.868677
660088.000000,0.637118,0.529568,4.443437,4.443437,2.000000,2.000000,7.488363,0.100000,0.094909,1.178671,8.523606,0.999003,-67.560517,-61.893874,149.121035,157.782112
660089.000000,0.851765,0.500703,6.731880,6.731880,2.000000,2.000000,5.466648,0.100000,0.103498,0.007481,5.586570,0.999003,-71.449475,-65.736667,156.898950,165.560028
660090.000000,0.722365,0.593530,7.809208,7.809208,2.000000,2.000000,6.717769,0.100000,0.181508,0.352231,1.462861,0.999003,-40.499163,-34.872227,94.998325,103.659402
660091.000000,0.895193,0.700412,4.589721,4.589721,2.000000,2.000000,5.666246,0.100000,0.401239,-1.019525,9.360594,0.999003,-70.984136,-65.327541,155.968272,164.629349
660092.000000,0.456560,0.692274,14.551915,14.551915,2.000000,2.000000,13.603873,0.100000,0.387166,-0.596616,0.777460,0.999003,-22.423476,-17.094197,58.846952,67.508029
660093.000000,0.703919,0.428131,10.600824,10.600824,2.000000,2.000000,8.358756,0.100000,0.233329,-0.195214,4.674670,0.999003,-50.033958,-44.401924,114.067915,122.728993
660094.000000,0.871614,0.027301,0.759638,0.759638,2.000000,2.000000,0.267890,0.100000,0.997183,-1.421663,0.675723,0.999003,-165.409283,-159.838882,344.818567,353.479644
660095.000000,0.524950,0.464597,12.586482,12.586482,2.000000,2.000000,8.682008,0.100000,0.357107,-0.900534,9.305372,0.999003,-74.350380,-68.863171,162.700761,171.361838
660096.000000,0.868164,0.024073,0.654242,0.654242,2.000000,2.000000,0.786027,0.100000,0.999537,-0.525115,0.519493,0.999003,-84.169947,-78.651503,182.339895,191.000972
660097.000000,0.772309,0.532712,31.988494,31.988494,2.000000,2.000000,5.955941,0.100000,0.049959,0.638596,4.343831,0.999003,-48.574091,-43.458769,111.148182,119.809260
660098.000000,0.646212,0.687595,10.743024,10.743024,2.000000,2.000000,8.895055,0.100000,0.012747,0.628976,7.629345,0.999003,-59.315880,-53.773623,132.631760,141.292838
660099.000000,0.776418,0.675138,9.811062,9.811062,2.000000,2.000000,6.275076,0.100000,0.294957,-0.453118,7.247026,0.999003,-84.087963,-78.466027,182.175926,190.837003
660100.000000,0.639826,0.708578,11.315363,11.315363,2.000000,2.000000,7.083268,0.100000,0.257803,1.387774,3.831351,0.999003,-36.318639,-30.694753,86.637278,95.298355
