"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660041.000000,1.113518,-0.257692,1.606946,1.606946,0.693147,0.693147,1.917895,-2.197225,-1.375357,0.426577,5.880825,6.910000,-53.447520,-47.711998,120.895040,129.556117
660042.000000,1.129480,-0.156056,1.000000,1.000000,0.693147,0.693147,1.740211,-2.197225,-1.514779,-0.381778,0.872419,6.910000,-40.554655,-34.907483,95.109309,103.770386
660043.000000,2.095386,0.770802,2.711520,2.711520,0.693147,0.693147,1.816010,-2.197225,-0.642139,0.738514,6.412337,6.910000,-66.338329,-60.814409,146.676658,155.337735
660044.000000,0.775235,0.958919,3.251496,3.251496,0.693147,0.693147,1.975765,-2.197225,-6.256348,0.527352,5.611147,6.910000,-70.993778,-65.765385,155.987556,164.648633
660045.000000,0.805580,0.453934,2.281224,2.281224,0.693147,0.693147,1.909438,-2.197225,-0.519739,0.674951,4.138586,6.910000,-55.269484,-49.602288,124.538969,133.200046
660046.000000,0.625232,0.657911,2.359231,2.359231,0.693147,0.693147,1.790208,-2.197225,0.628193,0.740598,5.443684,6.910000,-64.954026,-59.307655,143.908053,152.569130
660047.000000,0.153985,-0.272824,3.533154,3.533154,0.693147,0.693147,1.769663,-2.197225,-2.506385,-0.044111,10.107071,6.910000,-100.804208,-95.874324,215.608417,224.269494
660048.000000,0.087925,-0.133009,1.455994,1.455994,0.693147,0.693147,2.308737,-2.197225,-4.022392,0.804390,4.937623,6.910000,-52.253655,-46.546483,118.507310,127.168387
660049.000000,0.193605,0.363416,3.179430,3.179430,0.693147,0.693147,1.847001,-2.197225,-1.845448,0.399507,1.861348,6.910000,-43.518862,-38.224715,101.037724,109.698801
660050.000000,0.495554,-0.198542,0.734604,0.734604,0.693147,0.693147,2.116005,-2.197225,-0.438387,-0.665979,4.503641,6.910000,-50.597760,-44.812061,115.195520,123.856598
660051.000000,1.228801,-0.074186,2.367942,2.367942,0.693147,0.693147,2.468583,-2.197225,-3.568577,0.110675,6.269907,6.910000,-49.550623,-43.997756,113.101245,121.762323
660052.000000,-0.086082,0.332968,1.992942,1.992942,0.693147,0.693147,2.843616,-2.197225,-2.576017,1.346716,3.357068,6.910000,-26.488065,-20.901824,66.976131,75.637208
660053.000000,1.707823,-0.493662,2.296106,2.296106,0.693147,0.693147,2.313454,-2.197225,-0.881240,-0.561371,6.320050,6.910000,-40.336922,-34.736835,94.673843,103.334920
660054.000000,0.864153,-0.768846,-0.114687,-0.114687,0.693147,0.693147,2.640853,-2.197225,-0.049920,0.266870,1.575945,6.910000,-26.395735,-20.727597,66.791471,75.452548
660055.000000,1.661905,0.525327,1.952765,1.952765,0.693147,0.693147,2.000842,-2.197225,-5.231980,0.636375,5.177003,6.910000,-56.654434,-50.990000,127.308869,135.969946
660056.000000,-0.170888,1.189310,3.580496,3.580496,0.693147,0.693147,1.920646,-2.197225,-0.495962,0.556239,5.941779,6.910000,-79.337969,-74.348108,172.675937,181.337015
660057.000000,1.244527,-0.333871,2.724890,2.724890,0.693147,0.693147,2.062646,-2.197225,-0.494425,0.327904,6.996287,6.910000,-59.653925,-54.153941,133.307850,141.968928
660058.000000,1.406481,0.079417,1.911583,1.911583,0.693147,0.693147,2.044603,-2.197225,-2.118117,-0.041881,5.792017,6.910000,-58.089143,-52.398344,130.178286,138.839363
660059.000000,8.096337,1.230020,2.896782,2.896782,0.693147,0.693147,1.681487,-2.197225,-0.864816,-0.555548,5.798324,6.910000,-69.626490,-64.213807,153.252980,161.914057
660060.000000,1.027161,0.398382,2.485926,2.485926,0.693147,0.693147,2.184282,-2.197225,-0.811952,1.176913,5.052210,6.910000,-47.500496,-41.911330,109.000993,117.662070
