"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660041.000000,0.752784,0.435931,4.987554,4.987554,2.000000,2.000000,6.806612,0.100000,0.201756,0.426577,5.880825,0.999003,-53.447520,-47.711998,120.895040,129.556117
660042.000000,0.755743,0.461065,2.718282,2.718282,2.000000,2.000000,5.698546,0.100000,0.180232,-0.381778,0.872419,0.999003,-40.554655,-34.907483,95.109309,103.770386
660043.000000,0.890454,0.683694,15.052142,15.052142,2.000000,2.000000,6.147280,0.100000,0.344763,0.738514,6.412337,0.999003,-66.338329,-60.814409,146.676658,155.337735
660044.000000,0.684652,0.722905,25.828945,25.828945,2.000000,2.000000,7.212137,0.100000,0.001915,0.527352,5.611147,0.999003,-70.993778,-65.765385,155.987556,164.648633
660045.000000,0.691167,0.611574,9.788652,9.788652,2.000000,2.000000,6.749295,0.100000,0.372913,0.674951,4.138586,0.999003,-55.269484,-49.602288,124.538969,133.200046
660046.000000,0.651407,0.658791,10.582815,10.582815,2.000000,2.000000,5.990698,0.100000,0.652080,0.740598,5.443684,0.999003,-64.954026,-59.307655,143.908053,152.569130
660047.000000,0.538420,0.432214,34.231775,34.231775,2.000000,2.000000,5.868877,0.100000,0.075412,-0.044111,10.107071,0.999003,-100.804208,-95.874324,215.608417,224.269494
660048.000000,0.521967,0.466797,4.288745,4.288745,2.000000,2.000000,10.061705,0.100000,0.017595,0.804390,4.937623,0.999003,-52.253655,-46.546483,118.507310,127.168387
660049.000000,0.548251,0.589867,24.033059,24.033059,2.000000,2.000000,6.340773,0.100000,0.136408,0.399507,1.861348,0.999003,-43.518862,-38.224715,101.037724,109.698801
660050.000000,0.621414,0.450527,2.084657,2.084657,2.000000,2.000000,8.297917,0.100000,0.392125,-0.665979,4.503641,0.999003,-50.597760,-44.812061,115.195520,123.856598
660051.000000,0.773609,0.481462,10.675403,10.675403,2.000000,2.000000,11.805708,0.100000,0.027423,0.110675,6.269907,0.999003,-49.550623,-43.997756,113.101245,121.762323
660052.000000,0.478493,0.582481,7.337086,7.337086,2.000000,2.000000,17.177773,0.100000,0.070698,1.346716,3.357068,0.999003,-26.488065,-20.901824,66.976131,75.637208
660053.000000,0.846554,0.379031,9.935419,9.935419,2.000000,2.000000,10.109277,0.100000,0.292921,-0.561371,6.320050,0.999003,-40.336922,-34.736835,94.673843,103.334920
660054.000000,0.703528,0.316729,0.891645,0.891645,2.000000,2.000000,14.025167,0.100000,0.487523,0.266870,1.575945,0.999003,-26.395735,-20.727597,66.791471,75.452548
660055.000000,0.840494,0.628393,7.048152,7.048152,2.000000,2.000000,7.395282,0.100000,0.005315,0.636375,5.177003,0.999003,-56.654434,-50.990000,127.308869,135.969946
660056.000000,0.457382,0.766618,35.891334,35.891334,2.000000,2.000000,6.825364,0.100000,0.378490,0.556239,5.941779,0.999003,-79.337969,-74.348108,172.675937,181.337015
660057.000000,0.776351,0.417299,15.254736,15.254736,2.000000,2.000000,7.866756,0.100000,0.378852,0.327904,6.996287,0.999003,-59.653925,-54.153941,133.307850,141.968928
660058.000000,0.803210,0.519844,6.763785,6.763785,2.000000,2.000000,7.726092,0.100000,0.107348,-0.041881,5.792017,0.999003,-58.089143,-52.398344,130.178286,138.839363
660059.000000,0.999695,0.773822,18.115747,18.115747,2.000000,2.000000,5.373538,0.100000,0.296334,-0.555548,5.798324,0.999003,-69.626490,-64.213807,153.252980,161.914057
660060.000000,0.736365,0.598299,12.012237,12.012237,2.000000,2.000000,8.884267,0.100000,0.307475,1.176913,5.052210,0.999003,-47.500496,-41.911330,109.000993,117.662070
