"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","midS1neg","midS1pos","midSneg","midSneu","midSpos","midO1neg","midO1pos","midOneg","midOneu","midOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
20230710142359308.000000,7.038364,8.043159,-4.625000,-4.625000,0.693147,0.693147,-1.250000,-2.197225,-5.187500,2.375000,26.562500,6.910000,-261.857588,-257.175052,537.715177,546.376254,3.619048,5.047619,NaN,NaN,5.047619,3.857143,5.761905,NaN,6.000000,NaN,3.222222,4.194444,NaN,NaN,4.611111,2.250000,4.055556,NaN,4.750000,NaN,1.000000,6.000000,NaN,NaN,6.000000,2.190476,5.285714,NaN,4.095238,NaN
20230710142554812.000000,-0.165507,1.315620,-4.625000,-4.625000,0.693147,0.693147,-0.500000,-2.197225,5.187500,0.650000,22.625000,6.910000,-224.847280,-219.800623,463.694559,472.355636,3.000000,4.809524,NaN,3.857143,NaN,2.809524,3.761905,NaN,NaN,3.904762,2.277778,5.527778,NaN,3.305556,NaN,2.027778,5.388889,NaN,NaN,5.277778,1.238095,5.142857,NaN,2.857143,NaN,1.095238,5.523810,NaN,NaN,4.857143
20230710142601336.000000,0.585679,-2.370860,-0.406250,-0.406250,0.693147,0.693147,-7.437500,-2.197225,-0.062500,0.175000,4.906250,6.910000,-286.704676,-280.934646,587.409351,596.070429,1.000000,6.000000,NaN,4.952381,3.333333,3.904762,3.904762,NaN,NaN,NaN,1.694444,3.055556,NaN,3.472222,3.861111,2.888889,2.138889,NaN,NaN,NaN,1.476190,1.428571,NaN,4.952381,4.238095,2.285714,4.904762,NaN,NaN,NaN
2023071014265986.000000,1.163609,1.163609,-0.875000,-0.875000,0.693147,0.693147,-0.500000,-2.197225,-5.750000,2.375000,7.750000,6.910000,-220.457081,-214.743938,454.914161,463.575239,4.000000,3.238095,NaN,NaN,4.428571,2.619048,2.714286,NaN,NaN,5.619048,2.388889,4.472222,NaN,NaN,4.888889,1.916667,4.500000,NaN,NaN,4.555556,2.904762,4.190476,NaN,NaN,4.761905,1.904762,4.857143,NaN,NaN,4.095238
20230710143008916.000000,0.477050,0.477050,4.000000,4.000000,0.693147,0.693147,-0.500000,-2.197225,2.000000,2.300000,9.937500,6.910000,-238.825519,-234.609412,491.651038,500.312115,4.714286,4.666667,NaN,NaN,3.428571,4.809524,4.714286,NaN,NaN,4.619048,4.833333,4.805556,NaN,NaN,4.916667,4.916667,5.000000,NaN,NaN,4.694444,4.523810,4.761905,NaN,NaN,4.666667,5.190476,4.761905,NaN,NaN,5.476190
20230710143135952.000000,0.879414,2.007063,2.937500,2.937500,0.693147,0.693147,-1.250000,-2.197225,2.687500,4.906250,8.843750,6.910000,-235.648121,-230.357466,485.296243,493.957320,4.333333,5.190476,NaN,NaN,NaN,4.142857,5.238095,NaN,4.238095,4.666667,4.638889,5.138889,NaN,NaN,NaN,3.111111,5.111111,NaN,4.972222,4.194444,5.142857,4.238095,NaN,NaN,NaN,3.000000,5.285714,NaN,4.571429,3.428571
20230710143158544.000000,4.166682,-2.337497,-4.000000,-4.000000,0.693147,0.693147,-1.437500,-2.197225,-2.250000,-1.750000,18.250000,6.910000,-267.868394,-262.613153,549.736787,558.397864,3.095238,5.809524,NaN,NaN,3.904762,2.428571,2.190476,NaN,3.333333,NaN,1.222222,4.083333,NaN,NaN,3.555556,1.555556,3.361111,NaN,3.611111,NaN,1.238095,5.809524,NaN,NaN,4.952381,1.000000,6.000000,NaN,3.619048,NaN
20230710143222400.000000,0.216720,-0.416399,3.000000,3.000000,0.693147,0.693147,-0.750000,-2.197225,-2.000000,2.600000,7.750000,6.910000,-247.156397,-241.770856,508.312794,516.973871,4.000000,5.047619,NaN,NaN,NaN,3.714286,5.000000,NaN,4.238095,4.476190,4.694444,4.666667,NaN,NaN,NaN,2.750000,3.888889,NaN,2.333333,4.527778,2.000000,4.714286,NaN,NaN,NaN,2.476190,4.380952,NaN,2.571429,4.952381
20230710143331276.000000,1.812500,0.125000,1.812500,1.812500,0.693147,0.693147,-0.875000,-2.197225,-4.625000,6.593750,14.750000,6.910000,-246.793872,-241.549588,507.587745,516.248822,5.000000,5.238095,NaN,4.476190,NaN,4.238095,5.000000,NaN,4.000000,NaN,4.055556,5.027778,NaN,3.944444,NaN,2.916667,5.138889,NaN,3.194444,NaN,3.380952,4.523810,NaN,4.095238,NaN,2.857143,4.857143,NaN,3.476190,NaN
20230710143412544.000000,0.708236,0.770591,3.500000,3.500000,0.693147,0.693147,-1.250000,-2.197225,2.125000,-2.150000,12.125000,6.910000,-274.413911,-269.515166,562.827822,571.488899,4.857143,3.047619,NaN,NaN,5.047619,3.285714,3.523810,NaN,3.571429,NaN,4.527778,3.361111,NaN,NaN,4.722222,3.361111,3.416667,NaN,2.972222,NaN,4.523810,3.142857,NaN,NaN,5.095238,3.333333,3.714286,NaN,3.523810,NaN
20230710143540968.000000,-0.023289,-2.540756,3.218750,3.218750,0.693147,0.693147,-1.812500,-2.197225,-0.500000,1.925000,18.687500,6.910000,-273.612103,-268.777739,561.224205,569.885283,3.761905,5.476190,NaN,NaN,NaN,3.714286,3.476190,NaN,2.190476,3.761905,4.083333,4.000000,NaN,NaN,NaN,2.361111,3.916667,NaN,3.111111,3.861111,4.904762,3.619048,NaN,NaN,NaN,1.809524,3.523810,NaN,2.047619,4.190476
2023071014363491.000000,-1.023289,-1.529112,-5.187500,-5.187500,0.693147,0.693147,-0.500000,-2.197225,0.015625,-2.675000,9.500000,6.910000,-217.648548,-212.028831,449.297096,457.958174,2.238095,3.666667,NaN,4.428571,NaN,2.238095,3.666667,NaN,NaN,3.857143,1.000000,5.250000,NaN,3.527778,NaN,1.916667,5.500000,NaN,NaN,4.194444,1.000000,4.571429,NaN,4.047619,NaN,1.000000,4.523810,NaN,NaN,5.238095
20230710143703760.000000,0.074199,-0.194350,4.000000,4.000000,0.693147,0.693147,-0.500000,-2.197225,-3.000000,0.175000,6.000000,6.910000,-229.313100,-224.977523,472.626199,481.287277,3.285714,4.523810,NaN,NaN,4.761905,3.476190,2.619048,NaN,2.714286,NaN,2.666667,4.416667,NaN,NaN,4.722222,2.888889,3.916667,NaN,4.000000,NaN,3.142857,4.333333,NaN,NaN,4.714286,2.714286,4.238095,NaN,2.380952,NaN
20230710143711736.000000,1.123216,2.302781,2.750000,2.750000,0.693147,0.693147,-0.750000,-2.197225,-2.000000,-0.375000,5.562500,6.910000,-244.167130,-238.617538,502.334259,510.995336,3.380952,5.190476,NaN,4.809524,5.285714,3.476190,4.904762,NaN,NaN,NaN,2.861111,4.138889,NaN,4.555556,4.888889,2.916667,4.500000,NaN,NaN,NaN,2.476190,3.333333,NaN,5.238095,4.190476,2.047619,4.714286,NaN,NaN,NaN
20230710143808692.000000,2.538266,1.000000,3.500000,3.500000,0.693147,0.693147,-0.687500,-2.197225,0.562500,-1.625000,7.750000,6.910000,-244.478616,-239.428174,502.957232,511.618309,3.476190,2.714286,NaN,5.190476,NaN,4.571429,4.523810,NaN,NaN,2.952381,3.305556,3.861111,NaN,4.472222,NaN,2.166667,3.277778,NaN,NaN,4.944444,3.619048,3.285714,NaN,4.285714,NaN,3.333333,3.428571,NaN,NaN,5.285714
20230710143833568.000000,1.078210,8.236489,0.250000,0.250000,0.693147,0.693147,-0.750000,-2.197225,-2.000000,1.700000,6.000000,6.910000,-233.318654,-227.580753,480.637308,489.298385,4.333333,4.666667,NaN,5.761905,4.619048,2.857143,5.285714,NaN,NaN,NaN,2.055556,4.083333,NaN,4.333333,4.583333,2.166667,5.583333,NaN,NaN,NaN,2.952381,5.285714,NaN,2.000000,4.619048,2.142857,5.285714,NaN,NaN,NaN
